Jour;Date;Heure;Humidite;Temperature;Target_temp;Target_hum
Tuesday ;16/07/2024;10:18:00;27.6;36.2;haute;sec
Tuesday ;16/07/2024;10:18:01;27.6;36.2;haute;sec
Tuesday ;16/07/2024;10:18:02;27.6;36.2;haute;sec
Tuesday ;16/07/2024;10:18:03;27.8;36.2;haute;sec
Tuesday ;16/07/2024;10:18:04;27.8;36.2;haute;sec
Tuesday ;16/07/2024;10:18:05;27.8;36.2;haute;sec
Tuesday ;16/07/2024;10:18:06;27.8;36.4;haute;sec
Tuesday ;16/07/2024;10:18:07;27.8;36.4;haute;sec
Tuesday ;16/07/2024;10:18:08;27.8;36.4;haute;sec
Tuesday ;16/07/2024;10:18:09;27.6;36.4;haute;sec
Tuesday ;16/07/2024;10:18:10;27.6;36.4;haute;sec
Tuesday ;16/07/2024;10:18:11;27.6;36.4;haute;sec
Tuesday ;16/07/2024;10:18:12;27.4;36.6;haute;sec
Tuesday ;16/07/2024;10:18:13;27.4;36.6;haute;sec
Tuesday ;16/07/2024;10:18:14;27.4;36.6;haute;sec
Tuesday ;16/07/2024;10:18:15;27.1;36.8;haute;sec
Tuesday ;16/07/2024;10:18:16;27.1;36.8;haute;sec
Tuesday ;16/07/2024;10:18:17;27.1;36.8;haute;sec
Tuesday ;16/07/2024;10:18:18;26.9;36.9;haute;sec
